iter	F1	Logloss
0	0.5076439658	0.6921304853
1	0.6074925194	0.6909829782
2	0.6057113997	0.6899602771
3	0.5989112454	0.6890787742
4	0.6013777615	0.6884791791
5	0.5980380547	0.6874506525
6	0.6056109753	0.6862737655
7	0.6080972745	0.6848429097
8	0.6035189307	0.6835991171
9	0.6174417765	0.6825072253
10	0.6253560222	0.6814633045
11	0.6253887806	0.6806899576
12	0.6299833814	0.6797041996
13	0.6304492645	0.6788559596
14	0.6355270102	0.6779185447
15	0.6376197324	0.6770183082
16	0.6483219505	0.6758978181
17	0.6441572174	0.6753837607
18	0.6422481252	0.6745085452
19	0.6461429983	0.6740175893
20	0.6527279066	0.6727908217
21	0.6544202961	0.6720034049
22	0.6570015549	0.6711391562
23	0.6546198474	0.6703135679
24	0.6590696317	0.66958436
25	0.6584560873	0.669006603
26	0.6659837554	0.668117571
27	0.6716998281	0.6671927822
28	0.6710664204	0.6664268772
29	0.6739249829	0.665611258
30	0.6791105	0.6649790598
31	0.6789213747	0.6643570071
32	0.6779639963	0.663401603
33	0.680357166	0.6627076775
34	0.682704312	0.6620206367
35	0.6824358066	0.6611119539
36	0.6844449093	0.6605303715
37	0.6871589674	0.6599234861
38	0.6876448872	0.6591790325
39	0.6877720144	0.6582472439
40	0.691928981	0.6575691093
41	0.6922151588	0.6570458416
42	0.6905262022	0.6563307512
43	0.6888267999	0.6553051379
44	0.6933051218	0.6544647051
45	0.6931918935	0.6538385791
46	0.6976717396	0.6531765886
47	0.6963421938	0.6523824942
48	0.6949170362	0.6520147365
49	0.6956817315	0.6515456437
50	0.6982732555	0.650856509
51	0.7005362508	0.6498316378
52	0.7015014339	0.6493202414
53	0.7071732278	0.6486214851
54	0.7108072537	0.6476810498
55	0.7147893925	0.6467905957
56	0.7132802912	0.6460424294
57	0.7111854021	0.6453890254
58	0.7135321899	0.6446511295
59	0.7145873734	0.6439877859
60	0.7174646098	0.6432485696
61	0.7214020366	0.6422897945
62	0.7247046856	0.6418389402
63	0.7229768987	0.6405969937
64	0.7246227187	0.6400289631
65	0.7254864378	0.6394689518
66	0.7258864577	0.6388861034
67	0.7273822979	0.6384202505
68	0.7308796195	0.6375122504
69	0.734194155	0.636618711
70	0.7360188412	0.6358479981
71	0.7381232537	0.6348166769
72	0.7406856678	0.6341748317
73	0.7400493401	0.6334612531
74	0.7432417086	0.6327606049
75	0.7424264469	0.6320407943
76	0.745246706	0.631417875
77	0.7447015387	0.6309155119
78	0.7480802624	0.6301043962
79	0.7471510681	0.6294395349
80	0.7491482555	0.6287876313
81	0.751867933	0.6278809082
82	0.7490004659	0.6269100486
83	0.7499151347	0.6258928718
84	0.7518143327	0.6253387635
85	0.7526348182	0.6250438884
86	0.7551249778	0.6240815385
87	0.7572528765	0.6232538781
88	0.7590288197	0.6223124764
89	0.7600577077	0.6214215012
90	0.7596956669	0.6205125979
91	0.7608753323	0.6192874869
92	0.7631757041	0.6182517977
93	0.768467392	0.6173044667
94	0.7702825349	0.6162610137
95	0.7696399171	0.6149569285
96	0.769240034	0.6135104536
97	0.7704329341	0.612780129
98	0.7750765293	0.6117427721
99	0.7740056796	0.611110969
