iter	Passed	Remaining
0	8	8303
1	14	7298
2	22	7321
3	28	7088
4	33	6640
5	38	6300
6	43	6142
7	48	5984
8	53	5863
9	56	5563
10	60	5450
11	63	5259
12	68	5174
13	71	5061
14	76	5040
15	80	4975
16	85	4924
17	87	4791
18	92	4785
19	96	4715
20	100	4679
21	103	4583
22	107	4553
23	112	4558
24	116	4549
25	121	4542
26	124	4495
27	128	4469
28	133	4469
29	136	4427
30	140	4385
31	144	4380
32	148	4353
33	152	4336
34	156	4315
35	160	4302
36	164	4291
37	169	4281
38	172	4259
39	176	4225
40	180	4217
41	184	4209
42	187	4178
43	190	4148
44	194	4133
45	197	4103
46	201	4089
47	205	4067
48	209	4057
49	213	4047
50	217	4039
51	219	4006
52	223	3998
53	227	3988
54	229	3935
55	232	3923
56	235	3899
57	238	3867
58	240	3838
59	243	3809
60	246	3793
61	249	3774
62	252	3758
63	255	3737
64	258	3717
65	261	3701
66	264	3686
67	267	3668
68	270	3650
69	273	3631
70	276	3614
71	279	3602
72	282	3585
73	285	3567
74	288	3555
75	291	3546
76	294	3526
77	296	3510
78	299	3490
79	302	3476
80	305	3461
81	308	3449
82	310	3430
83	313	3414
84	315	3398
85	318	3382
86	320	3367
87	323	3350
88	325	3336
89	328	3324
90	331	3308
91	333	3293
92	336	3279
93	338	3266
94	341	3251
95	343	3236
96	346	3222
97	348	3208
98	351	3195
99	353	3182
100	356	3170
101	358	3159
102	361	3147
103	363	3135
104	366	3125
105	369	3114
106	371	3102
107	374	3090
108	376	3079
109	379	3067
110	381	3055
111	384	3045
112	386	3034
113	388	3022
114	391	3012
115	393	3001
116	396	2992
117	398	2981
118	401	2971
119	403	2961
120	406	2951
121	408	2941
122	411	2932
123	413	2923
124	416	2914
125	418	2904
126	421	2895
127	423	2886
128	426	2878
129	428	2870
130	431	2861
131	433	2852
132	436	2844
133	438	2835
134	441	2827
135	443	2819
136	446	2811
137	448	2804
138	451	2796
139	453	2788
140	456	2781
141	459	2773
142	461	2765
143	463	2758
144	466	2750
145	469	2743
146	471	2735
147	473	2728
148	476	2720
149	478	2713
150	481	2707
151	484	2700
152	486	2693
153	488	2686
154	491	2679
155	494	2673
156	496	2668
157	499	2661
158	501	2655
159	504	2648
160	506	2641
161	509	2636
162	512	2631
163	515	2625
164	517	2620
165	520	2613
166	522	2607
167	525	2600
168	527	2594
169	530	2588
170	532	2582
171	535	2576
172	537	2570
173	540	2564
174	542	2557
175	545	2552
176	547	2546
177	550	2540
178	552	2534
179	555	2528
180	557	2522
181	560	2517
182	562	2511
183	565	2506
184	567	2500
185	570	2495
186	572	2490
187	575	2485
188	577	2479
189	580	2473
190	582	2468
191	585	2463
192	587	2458
193	590	2453
194	593	2448
195	595	2443
196	598	2438
197	600	2433
198	603	2428
199	605	2422
200	608	2417
201	610	2412
202	613	2406
203	615	2401
204	618	2397
205	620	2392
206	623	2387
207	625	2382
208	628	2377
209	630	2372
210	633	2367
211	635	2362
212	638	2357
213	640	2352
214	642	2347
215	645	2342
216	648	2338
217	650	2333
218	653	2328
219	655	2324
220	658	2319
221	660	2315
222	663	2310
223	665	2305
224	667	2300
225	670	2296
226	672	2291
227	675	2287
228	678	2283
229	680	2279
230	683	2275
231	685	2270
232	688	2266
233	691	2262
234	693	2258
235	696	2254
236	698	2250
237	701	2245
238	703	2241
239	706	2236
240	708	2232
241	711	2228
242	713	2223
243	716	2219
244	718	2215
245	721	2211
246	723	2206
247	726	2202
248	728	2198
249	731	2194
250	733	2190
251	736	2186
252	738	2181
253	741	2177
254	744	2174
255	746	2170
256	749	2166
257	751	2162
258	754	2158
259	756	2154
260	759	2150
261	762	2146
262	764	2142
263	766	2138
264	769	2134
265	771	2130
266	774	2125
267	776	2121
268	779	2117
269	781	2113
270	784	2109
271	786	2105
272	789	2101
273	791	2097
274	794	2093
275	796	2089
276	798	2085
277	801	2081
278	803	2077
279	806	2073
280	808	2069
281	811	2065
282	813	2061
283	816	2057
284	818	2054
285	821	2050
286	823	2046
287	826	2043
288	829	2039
289	831	2035
290	834	2032
291	836	2028
292	838	2024
293	841	2020
294	843	2016
295	846	2012
296	848	2009
297	851	2005
298	853	2001
299	856	1997
300	858	1993
301	860	1989
302	863	1985
303	865	1982
304	868	1978
305	870	1974
306	873	1970
307	875	1967
308	877	1963
309	880	1959
310	882	1956
311	885	1952
312	887	1948
313	890	1945
314	892	1941
315	895	1937
316	897	1934
317	900	1930
318	902	1927
319	905	1923
320	907	1920
321	910	1916
322	912	1913
323	915	1909
324	917	1906
325	920	1902
326	922	1898
327	925	1895
328	927	1891
329	930	1888
330	932	1884
331	934	1881
332	937	1877
333	939	1874
334	942	1870
335	945	1867
336	947	1864
337	950	1861
338	953	1858
339	955	1855
340	958	1851
341	960	1848
342	963	1845
343	965	1842
344	968	1838
345	970	1833
346	972	1830
347	974	1826
348	977	1823
349	979	1819
350	982	1816
351	984	1812
352	987	1809
353	989	1805
354	992	1802
355	994	1799
356	997	1795
357	999	1792
358	1001	1788
359	1004	1785
360	1006	1782
361	1009	1778
362	1011	1775
363	1014	1771
364	1016	1768
365	1019	1765
